id,cliente_id,numeroCuenta,saldo,tipoCuenta,fechaCreacion
0,749,GB19ZLQI48969684137446,16293.64,Ahorro,2023-05-12
1,723,GB28JNLZ06975170324177,54014.16,Ahorro,2020-09-04
2,327,GB49TKQH00580007001253,61924.15,Ahorro,2021-04-25
3,206,GB93EIBE92205962082576,6201.84,Corriente,2016-10-21
4,182,GB74TWGG10566473134660,72427.36,Ahorro,2014-09-29
5,392,GB42CVBY21153917910322,42758.9,Ahorro,2019-10-25
6,732,GB44XCZL30968522825026,58872.93,Corriente,2019-11-29
7,917,GB38JFQH63974356118083,11117.02,Ahorro,2022-11-07
8,613,GB89KMRJ89975926067179,13962.68,Corriente,2018-11-23
9,708,GB89QVWT09085040832352,50994.19,Ahorro,2021-09-17
10,585,GB08OCQK87106445495512,95589.49,Ahorro,2020-06-04
11,323,GB38LMKW60298070128444,34893.57,Corriente,2018-04-10
12,903,GB36OICZ03284939906642,47953.65,Ahorro,2018-01-24
13,431,GB42PXFU66829889374461,34078.0,Corriente,2018-12-26
14,654,GB82ZHHF05463129349234,78255.57,Ahorro,2023-06-04
15,156,GB77FSGP34878131364666,32915.38,Corriente,2015-11-09
16,23,GB06WUPS44578022631076,52337.26,Corriente,2022-09-20
17,798,GB48GIKB36744629017912,50548.6,Corriente,2019-11-19
18,96,GB49ZYYG20307497995121,29260.17,Corriente,2023-11-13
19,564,GB15MVXN40308450575313,39509.47,Corriente,2020-02-05
20,599,GB90INHB13806388198937,27300.75,Corriente,2022-05-07
21,628,GB85WZSH91044982301429,52057.12,Corriente,2016-04-18
22,373,GB98JKGJ06061501222030,61755.98,Ahorro,2018-06-18
23,641,GB82FFPF77221803209833,87984.07,Ahorro,2015-02-27
24,474,GB76FYWK05163018582063,99699.97,Corriente,2020-03-23
25,811,GB03DNNR35844455125316,78696.71,Corriente,2016-12-17
26,970,GB18HIOS74528437300137,95116.86,Corriente,2015-11-03
27,699,GB50XOJY87293556520325,3661.35,Corriente,2019-01-07
28,509,GB21RFRV60902870782102,68045.39,Corriente,2015-05-10
29,401,GB28IXOA58052032432085,49104.88,Ahorro,2014-09-04
30,916,GB85JPBV52552138627848,53583.71,Ahorro,2015-03-26
31,823,GB45QVVK91153569998452,42383.47,Corriente,2017-06-20
32,576,GB68MGZE17993651983234,95313.5,Corriente,2014-07-01
33,512,GB90POFV64660994256300,27918.95,Corriente,2022-04-03
34,606,GB80XWOT18747469564875,76504.16,Ahorro,2017-02-26
35,855,GB48VTVY09211570268869,73918.55,Ahorro,2014-06-16
36,710,GB82FJYL56515884429104,18323.56,Ahorro,2021-02-10
37,375,GB24PFXW26419195841299,76399.72,Corriente,2022-07-26
38,653,GB78ZHGN61064546250190,97309.4,Ahorro,2016-05-13
39,437,GB73UZSR89464642575330,90549.08,Corriente,2016-01-14
40,132,GB57AOWX39837361264302,86162.89,Corriente,2024-02-12
41,529,GB36CSQX90006083976760,33952.33,Ahorro,2014-05-12
42,216,GB93DJCR23640135109967,45029.78,Ahorro,2022-11-07
43,183,GB64MXKA74765504186706,80268.86,Corriente,2019-07-27
44,679,GB35SGFH60589425154670,49351.66,Ahorro,2020-12-06
45,255,GB39IXSW29568404772547,89744.24,Ahorro,2019-10-20
46,151,GB55OCUV79840607352191,69322.8,Corriente,2017-02-18
47,402,GB51MTGX19113901713557,13971.48,Ahorro,2016-08-17
48,384,GB41XRWO60670600452483,83157.17,Corriente,2020-12-16
49,397,GB56ZWUO00311013500455,24623.29,Ahorro,2017-11-09
50,824,GB88YBJX81141461114039,2760.69,Corriente,2021-11-11
51,498,GB52EQYN83920050502831,82390.82,Corriente,2023-06-08
52,969,GB86KBJN51318157973402,63207.16,Ahorro,2022-07-19
53,626,GB16KKZF10591961309197,97070.99,Ahorro,2023-09-06
54,708,GB98SJZW71171470039036,93914.22,Ahorro,2017-12-10
55,255,GB34GIQK08975280803559,33239.66,Corriente,2021-06-07
56,776,GB69OXDE63075247122581,37365.84,Corriente,2016-11-15
57,193,GB59EBOO87309080117844,8286.18,Corriente,2014-12-18
